disease,description,success
congenital diaphragmatic hernia,"congenital diaphragmatic hernia, a rare birth defect caused by incomplete diaphragm development that allows abdominal organs to herniate into the chest, leading to compromised lung formation and respiratory distress.",True
dysthymic disorder,"dysthymic disorder, a chronic low-level form of depression that lasts for at least two years and is characterized by persistent sadness, low self-esteem, and reduced interest in daily activities.",True
granuloma inguinale,"granuloma inguinale, a rare bacterial sexually transmitted infection caused by Klebsiella granulomatis that produces chronic, painless, beefy-red genital ulcers which can ulcerate and scar over time.",True
oligodendroglial tumor,"oligodendroglial tumor, a rare brain or spinal cord tumor originating in oligodendrocytes—cells that protect nerve cells—characterized by slow growth, genetic mutations, and symptoms such as seizures and neurological deficits.",True
anti-glomerular basement membrane disease,"anti-glomerular basement membrane disease, is a rare autoimmune disorder in which antibodies target the basement membranes of the kidneys and lungs, leading to rapidly progressive glomerulonephritis and pulmonary hemorrhage.",True
Plasmodium vivax malaria,"Plasmodium vivax malaria, a mosquito-borne disease caused by the protozoan parasite P. vivax, is the most widespread form of malaria that typically presents with recurring episodes and can lead to severe, even fatal, complications.",True
postgastrectomy syndrome,"postgastrectomy syndrome, a group of functional gastrointestinal disorders arising from altered stomach anatomy and physiology after surgery, often presenting with symptoms such as dumping syndrome, abdominal discomfort, malabsorption, and nutritional deficiencies.",True
single-organ polyarteritis nodosa,"single-organ polyarteritis nodosa, a rare form of vasculitis characterized by inflammation confined to a single organ—often the skin, brain, eyes, or reproductive organs—with milder symptoms and isolated involvement compared to systemic polyarteritis nodosa.",True
strongyloidiasis,"strongyloidiasis, a parasitic disease caused by the nematode Strongyloides stercoralis that infects humans through contaminated soil and can lead to skin, gastrointestinal, and pulmonary symptoms, often becoming severe in immunocompromised individuals.",True
hypopituitarism,"hypopituitarism, a rare condition in which the pituitary gland produces insufficient hormones, leading to various health complications.",True
duodenum cancer,"duodenum cancer, a rare and fast-spreading malignancy in the first portion of the small intestine that may interfere with digestion and nutrient absorption.",True
squamous cell carcinoma of liver and intrahepatic biliary tract,"squamous cell carcinoma of liver and intrahepatic biliary tract, is an extremely rare primary malignant tumor originating in the intrahepatic bile duct epithelium and characterized histologically by keratinization and the presence of intracellular bridges.",True
recurrent pneumonia (disease),"recurrent pneumonia (disease), a condition characterized by repeated episodes of acute lower respiratory tract infections—with symptoms such as fever, leukocytosis, and purulent sputum—that resolve between episodes and often indicate underlying anatomic, immunologic, or chronic pulmonary disorders.",True
pneumonia caused by gram negative bacteria,"pneumonia caused by gram negative bacteria, is a serious infection often acquired in healthcare settings and characterized by high levels of antibiotic resistance from pathogens such as Klebsiella pneumoniae, Pseudomonas aeruginosa, and Escherichia coli that can lead to severe outcomes.",True
tetralogy of fallot,"tetralogy of fallot, a congenital heart defect characterized by four structural abnormalities—including a ventricular septal defect, pulmonary stenosis, an overriding aorta, and right ventricular hypertrophy—that together disrupt normal blood flow and reduce oxygen levels in the body.",True
diabetes insipidus,"diabetes insipidus, a rare condition characterized by extreme thirst and the production of large amounts of dilute urine due to issues with the hormone vasopressin.",True
chronic thromboembolic pulmonary hypertension,"chronic thromboembolic pulmonary hypertension, a potentially life-threatening condition in which persistent blood clots obstruct the pulmonary arteries, leading to increased pressure and right heart failure, but can be treated with medical and surgical interventions.",True
dracunculiasis,"dracunculiasis, a parasitic infection caused by the nematode Dracunculus medinensis, is transmitted by drinking water contaminated with copepods and manifests as painful skin blisters from which the worm eventually emerges.",True
Rift valley fever,"Rift valley fever, a viral zoonotic disease transmitted by mosquitoes and contact with infected animals that can cause a range of symptoms from mild flu-like illness to severe hemorrhagic fever in humans and significant reproductive losses in livestock primarily in Africa and the Middle East.",True
non-alcoholic steatohepatitis,"non-alcoholic steatohepatitis, a severe form of fatty liver disease characterized by fat buildup, inflammation, and liver damage that may progress to cirrhosis.",True
infant botulism,"infant botulism, a rare but serious condition most often affecting infants under 12 months caused by ingesting Clostridium botulinum spores that colonize the gut and produce a neurotoxin leading to muscle weakness, breathing problems, and paralysis.",True
basal cell carcinoma,"basal cell carcinoma, a common, slow-growing skin cancer that typically develops on sun-exposed areas and is usually treated effectively with surgical removal.",True
neuromuscular disease,"neuromuscular disease, a condition characterized by disrupted nerve-muscle communication that leads to muscle weakness, atrophy, and impaired motor function.",True
torsion dystonia,"torsion dystonia, a neurologic disorder characterized by sustained involuntary muscle contractions that cause abnormal twisting movements and postures.",True
