disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Kawasaki Disease,6,Heartwater Disease,Rheumatic Heart Disease,Celiac Disease,Hirschsprung Disease,von Willebrand Diseases,D006357,D012214,D002446,D006627,D014842
Trachoma,6,Trachoma,Thymoma,Trichiasis,Scotoma,"Papilloma, Inverted",D014141,D013945,D058457,D012607,D018308
Hepatoma,6,Hepatomegaly,Hepatoblastoma,"Carcinoma, Hepatocellular",Peliosis Hepatis,Hepatitis A,D006529,D018197,D006528,D010382,D006506
Allergic Rhinitis,6,"Rhinitis, Allergic, Seasonal",Allergic Fungal Sinusitis,"Rhinitis, Atrophic","Conjunctivitis, Allergic",Anaphylaxis,D006255,D000092562,D012222,D003233,D000707
Non-Alcoholic Fatty Liver Disease,6,Non-alcoholic Fatty Liver Disease,"Fatty Liver, Alcoholic","Liver Cirrhosis, Alcoholic","Hepatitis, Alcoholic",Acute-On-Chronic Liver Failure,D065626,D005235,D008104,D006519,D065290
Limb-Girdle Muscular Dystrophy Type 2A,6,"Muscular Dystrophy, Duchenne",Glycogen Storage Disease Type II,Myotonic Dystrophy,"Muscular Dystrophy, Facioscapulohumeral",Glycogen Storage Disease Type IIb,D020388,D006009,D009223,D020391,D052120
Tongue Squamous Cell Carcinoma,6,Squamous Cell Carcinoma of Head and Neck,Esophageal Squamous Cell Carcinoma,Tongue Neoplasms,Nasopharyngeal Carcinoma,"Carcinoma, Adenosquamous",D000077195,D000077277,D014062,D000077274,D018196
Pneumonia,6,"Pneumonia, Pneumococcal","Pneumonia, Mycoplasma","Pneumonia, Pneumocystis","Pneumonia, Staphylococcal","Pneumonia, Ventilator-Associated",D011018,D011019,D011020,D011023,D053717
Neonatal-Onset Multisystem Inflammatory Disease,6,Neonatal Sepsis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",Neonatal Abstinence Syndrome,Porcine Postweaning Multisystemic Wasting Syndrome,"Encephalomyelitis, Acute Disseminated",D000071074,D020277,D009357,D053570,D004673
Irritable Bowel Syndrome,6,Irritable Bowel Syndrome,Short Bowel Syndrome,Rumination Syndrome,Low Anterior Resection Syndrome,Intestinal Atresia,D043183,D012778,D000079562,D000094123,D007409
Spinal Muscular Atrophy,6,Spinal Muscular Atrophies of Childhood,Spinal Fractures,Spinal Stenosis,Geographic Atrophy,Multiple System Atrophy,D014897,D016103,D013130,D057092,D019578
Focal Segmental Glomerulosclerosis,6,"Glomerulosclerosis, Focal Segmental",Focal Nodular Hyperplasia,Focal Cortical Dysplasia,Focal Epithelial Hyperplasia,Focal Dermal Hypoplasia,D005923,D020518,D000092222,D017573,D005489
Cutaneous T Cell Lymphoma,6,"Lymphoma, Primary Cutaneous Anaplastic Large Cell","Tuberculosis, Cutaneous","Candidiasis, Cutaneous","Lymphoma, T-Cell, Peripheral",Enteropathy-Associated T-Cell Lymphoma,D054446,D014382,D002179,D016411,D058527
Colon Adenocarcinoma,6,Colonic Polyps,Colitis-Associated Neoplasms,Sigmoid Neoplasms,Adrenocortical Carcinoma,Adenocarcinoma in Situ,D003111,D000083023,D012811,D018268,D065311
Neuroblastoma,6,"Nephroma, Mesoblastic","Neurofibroma, Plexiform",Neurofibromatosis 1,Medulloblastoma,Anophthalmos,D018201,D018318,D009456,D008527,D000853
Hepatitis B,6,Hepatitis A,Hepatitis E,"Hepatitis B, Chronic","Hepatitis, Alcoholic",Hemophilia B,D006506,D016751,D019694,D006519,D002836
Cholangiocarcinoma,6,"Cholestasis, Extrahepatic","Cholangitis, Sclerosing",Biliary Atresia,"Adenoma, Bile Duct","Liver Cirrhosis, Biliary",D001651,D015209,D001656,D002759,D008105
Hypertrophic Cardiomyopathy,6,Apical Hypertrophic Cardiomyopathy,"Cardiomyopathy, Hypertrophic, Familial","Hypertrophy, Left Ventricular","Hypertrophy, Right Ventricular",Diabetic Cardiomyopathies,D000092183,D024741,D017379,D017380,D058065
Common Variable Immunodeficiency,6,Common Variable Immunodeficiency,Severe Combined Immunodeficiency,Common Cold,Acquired Immunodeficiency Syndrome,X-Linked Combined Immunodeficiency Diseases,D017074,D016511,D003139,D000163,D053632
Klinefelter Syndrome,6,Klinefelter Syndrome,Klippel-Feil Syndrome,Landau-Kleffner Syndrome,Kluver-Bucy Syndrome,Klippel-Trenaunay-Weber Syndrome,D007713,D007714,D018887,D020232,D007715
Major Depressive Disorder,6,"Depression, Postpartum",Premenstrual Dysphoric Disorder,Vascular Depression,Dyspepsia,"Muscular Dystrophy, Duchenne",D019052,D065446,D000088323,D004415,D020388
Acute Liver Failure,6,Acute-On-Chronic Liver Failure,Acute Disease,Acute Febrile Encephalopathy,"Abdomen, Acute","Liver Cirrhosis, Alcoholic",D065290,D000208,D000071072,D000006,D008104
Non-Obstructive Azoospermia,5,Azoospermia,Asthenozoospermia,Hemospermia,Teratozoospermia,Oophoritis,D053713,D053627,D051516,D000072660,D009869
Type 2 Diabetes Mellitus,5,"Diabetes Mellitus, Type 1","von Willebrand Disease, Type 2",Multiple Endocrine Neoplasia Type 2a,"Diabetes Mellitus, Experimental",Glycogen Storage Disease Type II,D003922,D056728,D018813,D003921,D006009
Clinically Isolated Syndrome,5,Syndrome,Isolated Systolic Hypertension,Aicardi Syndrome,Cushing Syndrome,Isaacs Syndrome,D013577,D000092244,D058540,D003480,D020386
Subacute Cutaneous Lupus Erythematosus,5,Subacute Sclerosing Panencephalitis,"Thyroiditis, Subacute","Endocarditis, Subacute Bacterial","Panniculitis, Lupus Erythematosus","Scleroderma, Diffuse",D013344,D013968,D004698,D015435,D045743
Juvenile Myelomonocytic Leukemia,5,"Leukemia, Myelomonocytic, Juvenile","Leukemia, Myelomonocytic, Chronic","Leukemia, Myelomonocytic, Acute","Leukemia, Megakaryoblastic, Acute","Leukemia, Myeloid, Accelerated Phase",D054429,D015477,D015479,D007947,D015465
Gestational Diabetes,5,"Diabetes, Gestational",Gestational Weight Gain,Congenital Disorders of Glycosylation,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Experimental",D016640,D000078064,D018981,D003922,D003921
Coenzyme Q10 Deficiency,5,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,Folic Acid Deficiency,Vitamin A Deficiency,Riboflavin Deficiency,Factor XII Deficiency,D054069,D005494,D014802,D012257,D005175
Cardiomyopathy,5,"Cardiomyopathy, Dilated",Cardiotoxicity,"Cardiomyopathy, Alcoholic","Cardiomyopathy, Restrictive",Chagas Cardiomyopathy,D002311,D066126,D002310,D002313,D002598
Inflammatory Bowel Disease,5,Crohn Disease,Pelvic Inflammatory Disease,Inflammatory Breast Neoplasms,"Colitis, Ischemic",Immunoproliferative Small Intestinal Disease,D003424,D000292,D058922,D017091,D007161
Medulloblastoma,5,Medulloblastoma,Retinoblastoma,Cerebellar Neoplasms,Ameloblastoma,Melanoma,D008527,D012175,D002528,D000564,D008545
Scleroderma,5,Scleritis,"Scleroderma, Diffuse","Scleroderma, Localized",Scleromyxedema,Scleredema Adultorum,D015423,D045743,D012594,D053718,D012592
Frontotemporal Dementia,5,Frontotemporal Dementia,Mixed Dementias,"Dementia, Vascular",Alzheimer Disease,"Dementia, Multi-Infarct",D057180,D000093902,D015140,D000544,D015161
Coronary Artery Disease,5,Coronary Artery Disease,Coronary Aneurysm,Acute Coronary Syndrome,Coronary Thrombosis,Coronary Occlusion,D003324,D003323,D054058,D003328,D054059
Myotonic Dystrophy Type 2,5,Myotonic Dystrophy,"Diabetes Mellitus, Type 1","Muscular Dystrophy, Duchenne","von Willebrand Disease, Type 2",Neurofibromatosis 2,D009223,D003922,D020388,D056728,D016518
Essential Thrombocythemia,5,"Thrombocythemia, Essential",Essential Tremor,Erythromelalgia,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombotic Thrombocytopenic",D013920,D020329,D004916,D016553,D011697
Thyroid Cancer,5,"Thyroid Cancer, Papillary","Thyroid Carcinoma, Anaplastic",Thyroid Crisis,Thyroid Nodule,Tongue Neoplasms,D000077273,D065646,D013958,D016606,D014062
Actinic Keratosis,5,"Keratosis, Actinic","Actinomycosis, Cervicofacial",Keratoconus,"Keratosis, Seborrheic",Keratoconjunctivitis Sicca,D055623,D000197,D007640,D017492,D007638
Severe Acute Respiratory Syndrome,5,Severe Acute Respiratory Syndrome,Acute Chest Syndrome,Acute Retroviral Syndrome,Acute Radiation Syndrome,Acute Coronary Syndrome,D045169,D056586,D000071297,D054508,D054058
Inclusion Body Myositis,5,"Myositis, Inclusion Body",Myositis Ossificans,"Myopathies, Nemaline","Conjunctivitis, Inclusion",Porcine Postweaning Multisystemic Wasting Syndrome,D018979,D009221,D017696,D003235,D053570
Undifferentiated Schizophrenia,5,Undifferentiated Connective Tissue Diseases,Undiagnosed Diseases,Urethritis,Hyperglycemic Hyperosmolar Nonketotic Coma,Infectious Mononucleosis,D000074079,D000080842,D014526,D006944,D007244
Post-Traumatic Stress Disorder,5,Post-Traumatic Headache,Post-Concussion Syndrome,"Epilepsy, Post-Traumatic","Neoplasms, Post-Traumatic",Postthrombotic Syndrome,D051298,D038223,D004834,D017169,D054070
Facioscapulohumeral Muscular Dystrophy,5,"Muscular Dystrophy, Facioscapulohumeral","Muscular Dystrophy, Duchenne","Muscular Dystrophy, Oculopharyngeal",Myotonic Dystrophy,Facies,D020391,D020388,D039141,D009223,D019066
Relapsing-Remitting Multiple Sclerosis,4,"Multiple Sclerosis, Relapsing-Remitting","Multiple Sclerosis, Chronic Progressive","Polychondritis, Relapsing",Relapsing Fever,Sclerosis,D020529,D020528,D011081,D012061,D012598
Thalassaemia,4,beta-Thalassemia,Hypertrichosis,alpha-Thalassemia,Enthesopathy,Hemochromatosis,D017086,D006983,D017085,D000070676,D006432
Retinitis Pigmentosa,4,Retinoschisis,Cytomegalovirus Retinitis,Retinal Degeneration,Urticaria Pigmentosa,Xeroderma Pigmentosum,D041441,D017726,D012162,D014582,D014983
Fuchs Endothelial Corneal Dystrophy,4,Fuchs' Endothelial Dystrophy,Corneal Endothelial Cell Loss,Corneal Ulcer,Fucosidosis,Iridocorneal Endothelial Syndrome,D005642,D055954,D003320,D005645,D057129
Collagenous Colitis,4,"Colitis, Collagenous","Colitis, Ischemic","Colitis, Lymphocytic","Colitis, Ulcerative",Colitis-Associated Neoplasms,D046729,D017091,D046730,D003093,D000083023
T-Cell Acute Lymphoblastic Leukemia,4,"Leukemia-Lymphoma, Adult T-Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Erythroblastic, Acute","Leukemia, Eosinophilic, Acute",D015459,D054218,D015451,D004915,D015472
Cutaneous Lupus Erythematosus,4,"Panniculitis, Lupus Erythematosus",Lupus Nephritis,Cutaneous Fistula,"Candidiasis, Cutaneous","Syphilis, Cutaneous",D015435,D008181,D017577,D002179,D013591
Esophageal Adenocarcinoma,4,Esophageal Squamous Cell Carcinoma,Esophageal Atresia,Esophageal Stenosis,Esophageal Achalasia,"Adenocarcinoma, Bronchiolo-Alveolar",D000077277,D004933,D004940,D004931,D002282
Liver Cancer,4,"Carcinoma, Hepatocellular","Liver Neoplasms, Experimental","Liver Cirrhosis, Alcoholic","Adenoma, Liver Cell","Liver Cirrhosis, Biliary",D006528,D008114,D008104,D018248,D008105
Steatosis,4,Steatorrhea,"Fatty Liver, Alcoholic",Non-alcoholic Fatty Liver Disease,Hypertrichosis,"Liver Cirrhosis, Alcoholic",D045602,D005235,D065626,D006983,D008104
Acute Lymphoblastic Leukemia,4,"Leukemia, Eosinophilic, Acute","Leukemia, Erythroblastic, Acute","Leukemia, Monocytic, Acute","Leukemia, Megakaryoblastic, Acute","Leukemia, Basophilic, Acute",D015472,D004915,D007948,D007947,D015471
Hepatoblastoma,4,Hepatoblastoma,Hemangioblastoma,Hepatomegaly,Ameloblastoma,Gonadoblastoma,D018197,D018325,D006529,D000564,D018238
Esophagitis,4,"Esophagitis, Peptic",Eosinophilic Esophagitis,Esophageal Stenosis,Endometritis,Tracheitis,D004942,D057765,D004940,D004716,D014136
Paroxysmal Nocturnal Hemoglobinuria,4,"Hemoglobinuria, Paroxysmal",Nocturnal Paroxysmal Dystonia,Hemoglobinuria,"Dyspnea, Paroxysmal",Paroxysmal Hemicrania,D006457,D020183,D006456,D004418,D051302
Colitis,4,"Colitis, Collagenous","Colitis, Ulcerative","Colitis, Ischemic","Colitis, Lymphocytic",Colitis-Associated Neoplasms,D046729,D003093,D017091,D046730,D000083023
AIDS Dementia,4,AIDS Dementia Complex,AIDS-Associated Nephropathy,AIDS-Related Opportunistic Infections,"AIDS Arteritis, Central Nervous System",AIDS-Related Complex,D015526,D016263,D017088,D020943,D000386
Prostate Adenocarcinoma,4,Adenocarcinoma in Situ,Anal Gland Neoplasms,"Adenocarcinoma, Bronchiolo-Alveolar",Prostatic Intraepithelial Neoplasia,"Prostatic Neoplasms, Castration-Resistant",D065311,D000694,D002282,D019048,D064129
Lewy Body Dementia,4,Lewy Body Disease,Synucleinopathies,Parkinson Disease,Alzheimer Disease,Frontotemporal Dementia,D020961,D000080874,D010300,D000544,D057180
Invasive Pneumococcal Disease; Recurrent Isolated,4,"Pneumonia, Pneumococcal","Meningitis, Pneumococcal","Pneumonia, Staphylococcal",Invasive Pulmonary Aspergillosis,Persistent Infection,D011018,D008586,D011023,D055744,D000088562
Limb-Girdle Muscular Dystrophy,4,"Muscular Dystrophy, Duchenne",Myotonic Dystrophy,"Muscular Dystrophy, Facioscapulohumeral",Reflex Sympathetic Dystrophy,Sarcoglycanopathies,D020388,D009223,D020391,D012019,D058088
Gastric Tumor,4,Stomach Neoplasms,Gastrointestinal Stromal Tumors,Gastrinoma,Granular Cell Tumor,Gallbladder Neoplasms,D013274,D046152,D015408,D016586,D005706
Head And Neck Cancer,4,Squamous Cell Carcinoma of Head and Neck,Hypopharyngeal Neoplasms,Nasopharyngeal Carcinoma,Skull Base Neoplasms,Tongue Neoplasms,D000077195,D007012,D000077274,D019292,D014062
IgA Nephropathy,4,IgA Vasculitis,"Glomerulonephritis, IGA",IgA Deficiency,AIDS-Associated Nephropathy,Albuminuria,D011695,D005922,D017098,D016263,D000419
Becker Muscular Dystrophy,4,"Muscular Dystrophy, Duchenne",Myotonic Dystrophy,Kashin-Beck Disease,"Muscular Dystrophy, Oculopharyngeal",Reflex Sympathetic Dystrophy,D020388,D009223,D057767,D039141,D012019
Polycythemia Vera,4,Polycythemia Vera,Polycythemia,Preleukemia,Postphlebitic Syndrome,Benign Paroxysmal Positional Vertigo,D011087,D011086,D011289,D011186,D065635
Ischemia Reperfusion Injury,4,Myocardial Reperfusion Injury,Hepatic Infarction,Mesenteric Ischemia,Ischemic Contracture,"Hypoxia-Ischemia, Brain",D015428,D000081011,D065666,D054061,D020925
Severe Fever With Thrombocytopenia Syndrome,4,Severe Fever with Thrombocytopenia Syndrome,Severe Dengue,Hemorrhagic Fever with Renal Syndrome,Severe Acute Respiratory Syndrome,Syndrome,D000085142,D019595,D006480,D045169,D013577
Adenocarcinoma,4,"Adenocarcinoma, Bronchiolo-Alveolar",Adenocarcinoma in Situ,"Adenocarcinoma, Clear Cell","Carcinoma, Adenosquamous","Carcinoma, Acinar Cell",D002282,D065311,D018262,D018196,D018267
Netherton Syndrome,4,Netherton Syndrome,Bartter Syndrome,Leriche Syndrome,Cushing Syndrome,Nephrotic Syndrome,D056770,D001477,D007925,D003480,D009404
Cerebral Hemorrhage,4,Cerebral Intraventricular Hemorrhage,"Cerebral Hemorrhage, Traumatic",Hemorrhagic Stroke,Eye Hemorrhage,Subarachnoid Hemorrhage,D000074042,D020202,D000083302,D005130,D013345
Atherosclerosis,4,"Plaque, Atherosclerotic",Arteriosclerosis Obliterans,Abetalipoproteinemia,Aortitis,Carotid Stenosis,D058226,D001162,D000012,D001025,D016893
Autism,4,Anorexia,Medulloblastoma,Azoospermia,Anosmia,Ataxia Telangiectasia,D000855,D008527,D053713,D000086582,D001260
Primary Myelofibrosis,4,Primary Myelofibrosis,Familial Primary Pulmonary Hypertension,Myelolipoma,"Myelitis, Transverse","Osteoarthropathy, Primary Hypertrophic",D055728,D065627,D018209,D009188,D010004
Cutaneous Leishmaniasis,4,"Leishmaniasis, Diffuse Cutaneous","Candidiasis, Cutaneous","Leishmaniasis, Mucocutaneous","Leishmaniasis, Visceral","Tuberculosis, Cutaneous",D016774,D002179,D007897,D007898,D014382
Rectal Cancer,4,Rectal Prolapse,Jejunal Neoplasms,Pelvic Neoplasms,Anorectal Malformations,Ileal Neoplasms,D012005,D007580,D010386,D000071056,D007078
Q Fever,4,Q Fever,Rheumatic Fever,Typhoid Fever,Yellow Fever,Rift Valley Fever,D011778,D012213,D014435,D015004,D012295
Thyroid Carcinoma,4,"Thyroid Carcinoma, Anaplastic","Thyroid Cancer, Papillary","Carcinoma, Papillary","Carcinoma, Medullary",Adrenocortical Carcinoma,D065646,D000077273,D002291,D018276,D018268
22Q11.2 Deletion Syndrome,4,Jacobsen Distal 11q Deletion Syndrome,Chromosome Deletion,Trisomy 13 Syndrome,Trisomy 18 Syndrome,Down Syndrome,D054868,D002872,D000073839,D000073842,D004314
Hereditary Sensory Neuropathy Type 1F,4,"Amyloid Neuropathies, Familial",Hereditary Angioedema Types I and II,Hereditary Angioedema Type III,"Spastic Paraplegia, Hereditary",Hereditary Central Nervous System Demyelinating Diseases,D028227,D056829,D056828,D015419,D020279
Granulomatosis With Polyangiitis,4,Granulomatosis with Polyangiitis,Microscopic Polyangiitis,Lymphomatoid Granulomatosis,Polyarteritis Nodosa,"Granuloma, Pyogenic",D014890,D055953,D008230,D010488,D017789
Atypical Teratoid Rhabdoid Tumor,4,Rhabdoid Tumor,Teratocarcinoma,Retroperitoneal Neoplasms,Tracheal Neoplasms,"Rhabdomyosarcoma, Alveolar",D018335,D018243,D012186,D014134,D018232
Clear Cell Ependymoma,4,"Adenocarcinoma, Clear Cell","Sarcoma, Clear Cell","Carcinoma, Renal Cell","Carcinoma, Transitional Cell","Carcinoma, Papillary",D018262,D018227,D002292,D002295,D002291
Ovarian Tumor,4,"Carcinoma, Ovarian Epithelial",Orbital Neoplasms,Granulosa Cell Tumor,Pelvic Neoplasms,Ovarian Torsion,D000077216,D009918,D006106,D010386,D000082843
Primary Biliary Cholangitis,4,"Cholangitis, Sclerosing",Biliary Atresia,Biliary Fistula,"Liver Cirrhosis, Biliary","Cholestasis, Extrahepatic",D015209,D001656,D001658,D008105,D001651
Allergic Asthma,4,Allergic Fungal Sinusitis,"Asthma, Occupational","Aspergillosis, Allergic Bronchopulmonary","Conjunctivitis, Allergic",Anaphylaxis,D000092562,D059366,D001229,D003233,D000707
Tetralogy of Fallot,4,Tetralogy of Fallot,Congenital Microtia,"Ventricular Outflow Obstruction, Right",Transient Tachypnea of the Newborn,Asphyxia,D013771,D065817,D000092243,D059245,D001237
Keloid,4,Keloid,Keratoconus,Keratoacanthoma,Hemorrhoids,Chondroblastoma,D007627,D007640,D007636,D006484,D002804
Alcoholic Hepatitis,4,"Hepatitis, Alcoholic","Liver Cirrhosis, Alcoholic","Fatty Liver, Alcoholic",Hepatitis A,Alcoholism,D006519,D008104,D005235,D006506,D000437
Adrenocortical Carcinoma,4,Adrenocortical Carcinoma,Adrenocortical Adenoma,Adrenal Rest Tumor,"Carcinoma, Skin Appendage","Carcinoma, Hepatocellular",D018268,D018246,D000314,D018280,D006528
Familial Hypercholesterolemia,4,Homozygous Familial Hypercholesterolemia,"Hyperlipidemia, Familial Combined",Hypercholesterolemia,Familial Hypophosphatemic Rickets,Familial Mediterranean Fever,D000090542,D006950,D006937,D053098,D010505
Systemic Sclerosis,4,Sclerosis,Scleritis,"Scleroderma, Diffuse",Subacute Sclerosing Panencephalitis,Hippocampal Sclerosis,D012598,D015423,D045743,D013344,D000092223
Leiomyoma,4,Leiomyomatosis,Leiomyosarcoma,"Leiomyoma, Epithelioid",Gynecomastia,Prolactinoma,D018231,D007890,D018230,D006177,D015175
Infant Acute Respiratory Distress Syndrome,4,Severe Acute Respiratory Syndrome,Acute Chest Syndrome,Fetal Distress,Acute Radiation Syndrome,Shaken Baby Syndrome,D045169,D056586,D005316,D054508,D038642
Small Cell Lung Cancer,4,Small Cell Lung Carcinoma,"Carcinoma, Small Cell","Carcinoma, Non-Small-Cell Lung","Sarcoma, Small Cell","Carcinoma, Lewis Lung",D055752,D018288,D002289,D018228,D018827
Visceral Leishmaniasis,4,"Leishmaniasis, Visceral","Larva Migrans, Visceral","Leishmaniasis, Diffuse Cutaneous","Leishmaniasis, Mucocutaneous",Visceral Pain,D007898,D007816,D016774,D007897,D059265
Periodontitis,4,Chronic Periodontitis,Aggressive Periodontitis,Periodontal Pocket,Periodontal Abscess,Periodontal Attachment Loss,D055113,D010520,D010514,D010508,D017622
Dupuytren's Disease,3,Dupuytren Contracture,Newcastle Disease,Machado-Joseph Disease,Addison Disease,Hartnup Disease,D004387,D009521,D017827,D000224,D006250
Opioid Use Disorder; Severe,3,Opioid-Induced Constipation,Opiate Overdose,Morphine Dependence,Heroin Dependence,Severe Acute Respiratory Syndrome,D000079689,D000083682,D009021,D006556,D045169
Familial Adenomatous Polyposis,3,Colonic Polyps,Familial Primary Pulmonary Hypertension,Familial Mediterranean Fever,"Colorectal Neoplasms, Hereditary Nonpolyposis","Dysautonomia, Familial",D003111,D065627,D010505,D003123,D004402
Localized Scleroderma,3,"Scleroderma, Localized","Scleroderma, Diffuse",Scleritis,Scleredema Adultorum,Scleromyxedema,D012594,D045743,D015423,D012592,D053718
Ataxia Telangiectasia,3,Ataxia Telangiectasia,Retinal Telangiectasis,"Telangiectasia, Hereditary Hemorrhagic",Cerebellar Ataxia,Gait Ataxia,D001260,D058456,D013683,D002524,D020234
